no,SKU,Nama,kategori,satuan,merek,stok keluar,stok masuk,stok tersedia,stok minimal,barcode,lokasi penyimpanan,kadaluarsa,warna,ukuran,p,l,t,keterangan,,
73,SK0073,STICKER MI VACUUM ROBOT,STICKER,PCS,XIAOMI,3,0,162,1,BR0073,,01 AGU 2022,,,32,10,1,,,
74,SK0074,STCIKER REDMI NOTE 11 SC,STANDING EASEL,PCS,XIAOMI,490,0,1552,1,BR0074,,01 AGU 2022,,,11,10,1,,,
75,SK0075,STCIKER REDMI NOTE 11 PRO SC,STANDING EASEL,PCS,XIAOMI,253,0,28275,1,BR0075,,01 AGU 2022,,,11,10,1,,,
76,SK0076,STCIKER REDMI NOTE 11 PRO 5G SC,STANDING EASEL,PCS,XIAOMI,94,0,805,1,BR0076,,01 AGU 2022,,,11,10,1,,,
77,SK0077,STICKER TAGLINE JAWARA,STANDING EASEL,PCS,XIAOMI,89,0,1020,1,BR0077,,01 AGU 2022,,,11,10,1,,,
78,SK0078,BACK STICKER L11R & L 10,STICKER,PCS,XIAOMI,14,0,31,1,BR0078,,01 AGU 2022,,,8,7,1,,,
79,SK0079,BACK STICKER 12 Lite,STICKER,PCS,XIAOMI,8,0,28,1,BR0079,,01 AGU 2022,,,8,7,1,,,
80,SK0080,New Easel AI Xiaomi 12 Lite,POSTER,PCS,XIAOMI,0,0,10,1,BR0080,,01 AGU 2022,,,90,60,1,,,
81,SK0081,Easel AI Xiaomi 12 Lite,POSTER,PCS,XIAOMI,0,0,8,1,BR0081,,01 AGU 2022,,,90,60,1,,,
82,SK0082,Phone Poster Xiaomi 12 Lite,POSTER,PCS,XIAOMI,10,0,10,1,BR0082,,01 AGU 2022,,,50,23,1,,,
83,SK0083,LEAFLET XIAOMI 12 5G,STANDING EASEL,PCS,XIAOMI,3,0,1997,1,BR0083,,01 AGU 2022,,,22,21,3,,,
84,SK0084,Hanging Xiaomi,HANGING,PCS,XIAOMI,36,0,140,1,BR0084,,01 AGU 2022,,,90,40,1,,,
85,SK0085,Wobbler TV Q1E55,WOBBLER,PCS,XIAOMI,94,0,156,1,BR0085,,01 AGU 2022,,,53,43,1,,,
86,SK0086,Poster Xioami W 65\',POSTER,PCS,XIAOMI,0,0,40,1,BR0086,,01 AGU 2022,,,83,60,1,,,
87,SK0087,Poster Xioami Mi Band 7 + Merdeka,POSTER,PCS,XIAOMI,0,0,40,1,BR0087,,01 AGU 2022,,,83,60,1,,,
88,SK0088,Flyer Xiaomi Mistoore,STANDING EASEL,PCS,XIAOMI,3,0,1247,1,BR0088,,01 AGU 2022,,,15,21,2,,,
89,SK0089,Sandisk USB cz50 16gb,STANDING EASEL,PCS,XIAOMI,9,0,416,1,BR0089,,01 AGU 2022,,,28,14,9,,,
90,SK0090,New Catalog Erafone,CATALOG,PCS,XIAOMI,0,0,100,1,BR0090,,01 AGU 2022,,,18,23,2,,,
91,SK0091,New Catalog,STANDING EASEL,PCS,XIAOMI,12,0,344,1,BR0091,,01 AGU 2022,,,18,23,2,,,
92,SK0092,POCO C40 dummy Green GL,DUMMY,PCS,XIAOMI,2,0,948,1,BR0092,,01 AGU 2022,,,19,7,2,,,
93,SK0093,POCO C40 dummy Gray GL,DUMMY,PCS,XIAOMI,2,0,2448,1,BR0093,,01 AGU 2022,,,19,7,2,,,
94,SK0094,POCO C40 dummy Yellow GL,DUMMY,PCS,XIAOMI,2,0,598,1,BR0094,,01 AGU 2022,,,19,7,2,,,
95,SK0095,Alarm For Mi PAD,ALARM,PCS,XIAOMI,1,0,99,1,BR0095,,01 AGU 2022,,,22,18,9,,,
96,SK0096,Alarm Set 6 Port,ALARM,PCS,XIAOMI,0,0,180,1,BR0096,,01 AGU 2022,,,22,18,9,,,
97,SK0097,Tentcard 12 Lite,STANDING EASEL,PCS,XIAOMI,373,0,32,1,BR0097,,01 AGU 2022,,,35,10,1,,,
98,SK0098,Mika SmART Purifier Air 4,STANDING EASEL,PCS,XIAOMI,3,0,355,1,BR0098,,01 AGU 2022,,,15,10,1,,,
99,SK0099,Wobbler Mi Band 7,STANDING EASEL,PCS,XIAOMI,372,0,33,1,BR0099,,01 AGU 2022,,,24,20,1,,,
100,SK0100,"Wobbler TV P1E 65\""",WOBBLER,PCS,XIAOMI,114,0,166,1,BR0100,,01 AGU 2022,,,55,40,1,,,
101,SK0101,"Wobbler TV A2 55\""",WOBBLER,PCS,XIAOMI,190,0,315,1,BR0101,,01 AGU 2022,,,55,40,1,,,
102,SK0102,ALARM SET HP,ALARM BIM,PCS,XIAOMI,0,0,90,1,BR0102,,01 AGU 2022,,,22,18,9,,,
103,SK0103,Acrylic LDU HP,ALARM BIM,PCS,XIAOMI,0,0,504,1,BR0103,,01 AGU 2022,,,15,10,2,,,
104,SK0104,Acrylic Spec Crad,STANDING EASEL,PCS,XIAOMI,41,0,499,1,BR0104,,01 AGU 2022,,,15,10,2,,,
105,SK0105,OPP703W,Alarm HQ Device Set,PCS,XIAOMI,190,0,653,1,BR0105,,01 AGU 2022,,,15,10,8,,,
